File: gocache
Build ID: 7d6f7b0401669da96be43c8951fce4eda2e07b01
Type: delay
Time: 2026-06-09 16:10:46 UTC
Showing nodes accounting for 96826874.81us, 100% of 96826874.81us total
Showing top 200 nodes out of 201
      flat  flat%   sum%        cum   cum%
         0     0%   100%   112.11us 0.00012%  runtime.makemap
         0     0%   100%   100.80us 0.0001%  reflect.copyVal
         0     0%   100%   100.09us 0.0001%  runtime.mapassign_faststr
         0     0%   100%    99.69us 0.0001%  internal/runtime/maps.(*table).reset
         0     0%   100%    99.69us 0.0001%  internal/runtime/maps.newTable
         0     0%   100%    96.79us 0.0001%  runtime.stopm
         0     0%   100%    92.68us 9.6e-05%  gocache/commons/resp.(*Reader).readArray
         0     0%   100%    91.98us 9.5e-05%  gocache/pkg/server.materializeOperationStartedRecord
         0     0%   100%    83.96us 8.7e-05%  runtime.(*sweepLocked).sweep
         0     0%   100%    82.06us 8.5e-05%  internal/runtime/maps.(*Map).growToSmall
         0     0%   100%    72.74us 7.5e-05%  gocache/pkg/server.cloneStringMap
         0     0%   100%    69.03us 7.1e-05%  google.golang.org/protobuf/internal/impl.(*MessageInfo).New
         0     0%   100%    69.03us 7.1e-05%  google.golang.org/protobuf/internal/impl.(*messageState).New
         0     0%   100%    69.03us 7.1e-05%  reflect.New
         0     0%   100%    62.02us 6.4e-05%  reflect.(*MapIter).Key
         0     0%   100%    59.72us 6.2e-05%  bufio.(*Reader).ReadByte
         0     0%   100%    59.72us 6.2e-05%  bufio.(*Reader).fill
         0     0%   100%    59.72us 6.2e-05%  internal/poll.(*FD).Read
         0     0%   100%    59.72us 6.2e-05%  net.(*conn).Read
         0     0%   100%    59.72us 6.2e-05%  net.(*netFD).Read
         0     0%   100%    59.72us 6.2e-05%  syscall.Read
         0     0%   100%    59.72us 6.2e-05%  syscall.read
         0     0%   100%    39.77us 4.1e-05%  reflect.Value.SetMapIndex
         0     0%   100%    39.77us 4.1e-05%  reflect.mapassign_faststr
         0     0%   100%    39.77us 4.1e-05%  reflect.mapassign_faststr0
         0     0%   100%    38.77us 4e-05%  reflect.(*MapIter).Value
         0     0%   100%    37.87us 3.9e-05%  gocache/pkg/cache.(*Cache).RawSet
         0     0%   100%    37.87us 3.9e-05%  gocache/pkg/cache.(*Shard).rawSet
         0     0%   100%    37.87us 3.9e-05%  gocache/pkg/cache.(*Shard).setInternal
         0     0%   100%    37.87us 3.9e-05%  gocache/pkg/command.wrapInline
         0     0%   100%    33.26us 3.4e-05%  runtime.(*mcache).prepareForSweep
         0     0%   100%    33.26us 3.4e-05%  runtime.acquirep
         0     0%   100%    26.75us 2.8e-05%  runtime.(*timer).maybeAdd
         0     0%   100%    26.75us 2.8e-05%  runtime.blockTimerChan
         0     0%   100%    26.75us 2.8e-05%  runtime.wakeNetPoller
         0     0%   100%    25.05us 2.6e-05%  gocache/pkg/resp/handler.HandleIncr.func1
         0     0%   100%    25.05us 2.6e-05%  gocache/pkg/resp/handler.incrByDelta
         0     0%   100%    24.35us 2.5e-05%  runtime.bgsweep
         0     0%   100%    24.35us 2.5e-05%  runtime.sweepone
         0     0%   100%    19.44us 2e-05%  runtime.(*mcache).releaseAll
         0     0%   100%    19.44us 2e-05%  runtime.(*mcentral).uncacheSpan
         0     0%   100%    19.44us 2e-05%  runtime.(*mheap).freeSpan
         0     0%   100%    19.44us 2e-05%  runtime.(*sweepLocked).sweep.(*mheap).freeSpan.func2
         0     0%   100%    18.04us 1.9e-05%  gocache/pkg/server.foldContextUpdate
         0     0%   100%    18.04us 1.9e-05%  internal/runtime/maps.(*Map).growToTable
         0     0%   100%    13.83us 1.4e-05%  runtime.stackcache_clear
         0     0%   100%    12.82us 1.3e-05%  gocache/pkg/resp/handler.HandleSet
         0     0%   100%    12.82us 1.3e-05%  gocache/pkg/resp/handler.HandleSet.func1
         0     0%   100%     8.22us 8.5e-06%  gocache/pkg/pipeline.(*Pipeline).recordCommandStartSignals
         0     0%   100%     7.82us 8.1e-06%  fmt.Sprintf
         0     0%   100%     7.82us 8.1e-06%  fmt.newPrinter
         0     0%   100%     7.82us 8.1e-06%  gocache/pkg/pipeline.resultToHookStrings
         0     0%   100%     7.82us 8.1e-06%  sync.(*Pool).Get
         0     0%   100%     7.82us 8.1e-06%  sync.(*Pool).pin
         0     0%   100%     7.82us 8.1e-06%  sync.(*Pool).pinSlow
         0     0%   100%     1.40us 1.4e-06%  gocache/commons/observability.(*SlotOperationTrackerManager).StartOperationForConnectionWithMetadata
         0     0%   100%     1.40us 1.4e-06%  gocache/commons/observability.(*SlotOperationTrackerManager).StartOperationWithConnectionContextAndMetadata
         0     0%   100%     1.40us 1.4e-06%  gocache/commons/observability.(*SlotOperationTrackerManager).startOperation
